Split,Horizon,Method,LagSet,y_true,y_pred,Store
6,7,VAR,-,97.0,124.952855862539,Baltimore
6,1,RandomForest_MV,mv_lag7,61.0,97.64,Baltimore
6,2,RandomForest_MV,mv_lag7,73.0,56.22,Baltimore
6,3,RandomForest_MV,mv_lag7,71.0,63.68,Baltimore
6,4,RandomForest_MV,mv_lag7,69.0,72.38,Baltimore
6,5,RandomForest_MV,mv_lag7,77.0,91.7,Baltimore
6,6,RandomForest_MV,mv_lag7,118.0,132.37,Baltimore
6,7,RandomForest_MV,mv_lag7,97.0,100.76,Baltimore
6,1,XGBoost_MV,mv_lag7,61.0,80.89366912841797,Baltimore
6,2,XGBoost_MV,mv_lag7,73.0,54.29034423828125,Baltimore
6,3,XGBoost_MV,mv_lag7,71.0,61.657344818115234,Baltimore
6,4,XGBoost_MV,mv_lag7,69.0,67.10643768310547,Baltimore
6,5,XGBoost_MV,mv_lag7,77.0,88.802734375,Baltimore
6,6,XGBoost_MV,mv_lag7,118.0,134.62937927246094,Baltimore
6,7,XGBoost_MV,mv_lag7,97.0,83.27162170410156,Baltimore
6,1,LinearReg_MV,mv_lag7,61.0,126.34182191621761,Baltimore
6,2,LinearReg_MV,mv_lag7,73.0,54.36773967620397,Baltimore
6,3,LinearReg_MV,mv_lag7,71.0,78.84418241053945,Baltimore
6,4,LinearReg_MV,mv_lag7,69.0,98.85068392350804,Baltimore
6,5,LinearReg_MV,mv_lag7,77.0,127.46566524640457,Baltimore
6,6,LinearReg_MV,mv_lag7,118.0,114.41731800458638,Baltimore
6,7,LinearReg_MV,mv_lag7,97.0,118.12899595293628,Baltimore
6,1,RandomForest_MV,mv_lag14,61.0,75.51,Baltimore
6,2,RandomForest_MV,mv_lag14,73.0,57.19,Baltimore
6,3,RandomForest_MV,mv_lag14,71.0,64.15,Baltimore
6,4,RandomForest_MV,mv_lag14,69.0,70.45,Baltimore
6,5,RandomForest_MV,mv_lag14,77.0,90.63,Baltimore
6,6,RandomForest_MV,mv_lag14,118.0,130.24,Baltimore
6,7,RandomForest_MV,mv_lag14,97.0,97.18,Baltimore
